team,avg_pts,avg_reb,avg_ast,avg_stl,avg_blk,avg_fg_pct,avg_fg3_pct,avg_ft_pct,win_pct,games_played
ATL,116.06,45.15,29.06,10.12,5.12,46.28,34.55,77.33,0.46,52
BOS,117.25,44.75,25.96,7.46,5.71,45.99,36.84,78.86,0.69,52
BRK,105.27,40.75,24.73,7.46,4.17,44.14,35.01,79.32,0.35,52
CHI,116.67,45.65,29.12,7.4,4.79,46.81,37.35,80.67,0.42,52
CHO,107.1,46.0,24.04,7.96,4.69,43.12,34.53,77.05,0.27,49
CLE,122.42,44.6,29.1,8.27,4.46,49.8,39.47,78.27,0.81,52
DAL,115.52,44.69,25.25,7.94,5.87,47.91,36.76,77.34,0.52,52
DEN,120.85,45.65,31.21,8.35,4.85,50.86,37.99,77.33,0.63,52
DET,112.96,45.06,25.71,7.69,5.02,46.84,35.95,77.57,0.5,52
GSW,111.51,46.0,28.61,8.61,5.0,44.51,36.09,72.05,0.49,51
HOU,113.41,47.76,22.59,9.02,5.16,44.95,34.07,76.37,0.63,51
IND,115.66,41.58,28.66,8.54,5.24,48.97,36.75,77.62,0.58,50
LAC,110.08,44.37,24.41,9.47,4.59,47.1,36.27,79.24,0.55,51
LAL,112.55,41.71,26.59,7.57,4.84,48.37,35.83,79.59,0.61,49
MEM,123.76,47.9,29.51,9.25,6.04,48.77,37.18,77.7,0.69,51
MIA,110.46,43.94,26.44,8.06,3.82,45.67,36.79,79.92,0.5,50
MIL,113.82,44.08,25.39,7.27,5.04,48.23,38.94,73.0,0.55,51
MIN,111.67,43.92,25.4,7.92,5.02,46.44,38.51,79.53,0.56,52
NOP,110.04,42.86,25.16,9.31,5.49,44.65,34.72,76.81,0.24,51
NYK,117.92,43.24,27.65,8.02,3.86,49.54,36.83,80.54,0.67,51
OKC,116.98,44.29,25.88,11.1,5.55,47.36,35.17,82.65,0.8,51
ORL,103.85,41.51,23.25,9.17,6.15,43.9,30.13,76.81,0.47,53
PHI,109.14,38.82,22.88,9.39,4.04,45.64,35.2,78.99,0.39,51
PHO,113.43,42.47,27.39,7.51,5.06,47.59,37.81,80.17,0.51,51
POR,109.04,43.75,23.33,7.88,5.54,45.35,34.77,77.39,0.44,52
SAC,116.06,44.49,26.67,7.9,4.69,47.43,34.45,80.23,0.49,51
SAS,112.84,45.37,28.92,7.76,6.67,45.96,34.89,79.34,0.45,49
TOR,111.15,43.71,29.04,7.9,4.62,47.04,35.56,74.31,0.31,52
UTA,111.88,45.7,25.44,6.64,5.0,45.84,35.59,78.99,0.24,50
WAS,107.84,43.94,25.04,7.61,5.06,43.81,33.0,76.45,0.18,51
